workload,variant,run,deadline_success_rate,average_response_time,system_utilization,total_energy_consumed
moderate,No_Capacity,25,0.71,1.687281224975618,0.4138545205828764,60.83273187426535
moderate,No_Capacity,26,0.63,2.2780740067554017,0.48432341528070744,69.34463126218084
moderate,No_Capacity,27,0.77,1.8428052930063157,0.4197081799899461,66.95251976901065
moderate,No_Capacity,28,0.7,1.7867991224376416,0.3444142934605786,59.7180588628828
moderate,No_Capacity,29,0.75,1.8776040024334752,0.3734404145808324,61.418061871679996
moderate,No_Capacity,30,0.72,1.8577752906451204,0.49011827845771877,72.51753087957566
moderate,No_Energy,1,0.79,1.5531974100079373,0.41054376023562533,61.086283403429505
moderate,No_Energy,2,0.81,1.5579533796190852,0.4330386644462902,70.78432441428099
moderate,No_Energy,3,0.81,1.39865666774023,0.36885260735660413,60.686058460907645
moderate,No_Energy,4,0.77,1.5931540630075154,0.4243273038931694,63.86894843050419
moderate,No_Energy,5,0.82,1.4374196165595456,0.38918116708686107,56.081251203647284
moderate,No_Energy,6,0.76,1.3786458377724324,0.3687797354148022,62.692729977466456
moderate,No_Energy,7,0.7,1.8756710630530065,0.3436627349438897,63.164513750271595
moderate,No_Energy,8,0.8,1.6952183937451426,0.4348998454182549,66.79192650327705
moderate,No_Energy,9,0.83,1.393907992886229,0.4191749991503551,61.67477968008039
moderate,No_Energy,10,0.84,1.2858233993530006,0.40346305411332345,60.979402699520406
moderate,No_Energy,11,0.82,1.3561124321822138,0.37751363858055104,57.83428505993268
moderate,No_Energy,12,0.81,1.3427947752349678,0.356442638424713,58.78868569143181
moderate,No_Energy,13,0.84,1.4717719259632602,0.4220391494329825,62.36265492273252
moderate,No_Energy,14,0.79,1.6260047990999518,0.3545154429221155,60.96729288201334
moderate,No_Energy,15,0.79,1.5928858738771439,0.35972350878054493,65.77031388496454
moderate,No_Energy,16,0.82,1.1767613067939258,0.40376441591141576,62.74065656851518
moderate,No_Energy,17,0.75,1.7047666481277555,0.3900675202762928,66.32447189609537
moderate,No_Energy,18,0.82,1.4690917958414513,0.4201320625788446,66.33857566962256
moderate,No_Energy,19,0.75,2.0001718539671383,0.45800591772736804,70.1541655047002
moderate,No_Energy,20,0.82,1.3308029863165707,0.3711283285359576,62.51082530468845
moderate,No_Energy,21,0.75,1.884104429957023,0.42904449494541363,73.08109176870292
moderate,No_Energy,22,0.85,1.1951270422821465,0.4034201514653583,55.99433918621462
moderate,No_Energy,23,0.82,1.630627460754452,0.35907056143438343,68.92341363958127
moderate,No_Energy,24,0.87,1.4643517089447156,0.4070870897240385,61.756063390039955
moderate,No_Energy,25,0.86,1.3609290013923596,0.4261765863361848,59.18421260793188
