workload,algorithm,run,deadline_success_rate,average_response_time,system_utilization,total_energy_consumed
heavy,EDF,21,1.0,1.3911005819614746,0.7339806224010706,72.49943419303509
heavy,EDF,22,0.98,1.263593893077827,0.7046614253040069,58.1900241198651
heavy,EDF,23,1.0,1.0607267926876651,0.7276091902851411,66.25875451486203
heavy,EDF,24,0.96,1.683062223874334,0.7498141281376379,65.35375525939044
heavy,EDF,25,0.96,1.2762230013706006,0.7024786004646738,59.56836937774044
heavy,EDF,26,0.98,1.8082329336466585,0.8063427883281131,70.91807973888807
heavy,EDF,27,0.89,1.6109520866835272,0.7425411343407587,65.1227491175261
heavy,EDF,28,1.0,1.121297430824605,0.6889206054128657,61.715142245745284
heavy,EDF,29,1.0,1.4461330024059347,0.7357048262318135,63.969033050953215
heavy,EDF,30,1.0,1.3617052201335453,0.7267045670902956,63.4638326173002
heavy,AHDETS,1,0.82,1.2830534170187093,0.630857971137601,66.78741768551164
heavy,AHDETS,2,0.86,1.0978072904769889,0.7448189048248752,66.0794488410715
heavy,AHDETS,3,0.87,1.0296688073602593,0.7555431313548293,62.182153469511604
heavy,AHDETS,4,0.74,1.3516094307062552,0.7809446456599549,66.21884261319609
heavy,AHDETS,5,0.82,0.9404109029018589,0.6953262642862469,56.007042926722306
heavy,AHDETS,6,0.87,0.9646882110881465,0.7349346420864737,62.954858380793084
heavy,AHDETS,7,0.84,1.1619758548002133,0.6969611215350914,66.20799024049066
heavy,AHDETS,8,0.85,1.2329273909957963,0.7561853544051959,65.68847406443533
heavy,AHDETS,9,0.92,1.0001938273217512,0.6882666885342887,59.92946867681256
heavy,AHDETS,10,0.8,1.0290405201659134,0.733027431727587,56.0043638687587
heavy,AHDETS,11,0.9,0.9884491484844518,0.689673220464339,57.95639076611981
heavy,AHDETS,12,0.88,0.818158943292781,0.6313346432158112,55.946505237546816
heavy,AHDETS,13,0.91,0.9739384303094271,0.7129842686361619,60.706352761749585
heavy,AHDETS,14,0.86,0.987206126442086,0.6502066013434166,59.4533726464518
heavy,AHDETS,15,0.88,1.0460971219119193,0.7022202892500558,62.99969207606851
heavy,AHDETS,16,0.89,0.9101695714201853,0.6315373754962089,59.26587376538089
heavy,AHDETS,17,0.92,0.9713156643577253,0.6479944957549398,62.661445482408624
